iter	Passed	Remaining
0	64	64229
1	65	32649
2	66	21994
3	66	16667
4	67	13490
5	68	11347
6	69	9857
7	72	8962
8	72	8037
9	73	7304
10	74	6710
11	75	6207
12	76	5811
13	77	5459
14	78	5150
15	79	4868
16	79	4616
17	80	4397
18	81	4199
19	81	4016
20	82	3852
21	83	3703
22	83	3564
23	84	3447
24	85	3342
25	86	3246
26	87	3145
27	87	3051
28	88	2971
29	89	2897
30	90	2827
31	91	2762
32	94	2757
33	95	2700
34	95	2646
35	96	2593
36	97	2544
37	98	2496
38	99	2456
39	100	2419
40	101	2376
41	102	2331
42	102	2288
43	103	2245
44	103	2206
45	104	2168
46	105	2133
47	105	2097
48	106	2065
49	107	2037
50	107	2005
51	108	1976
52	108	1946
53	109	1918
54	110	1890
55	110	1862
56	111	1838
57	111	1813
58	112	1789
59	112	1769
60	113	1748
61	114	1731
62	115	1714
63	115	1693
64	116	1674
65	116	1654
66	117	1634
67	117	1611
68	118	1592
69	118	1574
70	118	1556
71	119	1540
72	120	1524
73	120	1508
74	121	1493
75	121	1480
76	122	1466
77	122	1451
78	123	1438
79	123	1424
80	124	1410
81	124	1397
82	125	1385
83	125	1372
84	126	1358
85	126	1346
86	127	1333
87	127	1323
88	128	1314
89	129	1306
90	129	1295
91	130	1284
92	130	1273
93	131	1263
94	131	1256
95	132	1246
96	132	1236
97	133	1228
98	133	1219
99	134	1210
100	135	1203
101	135	1193
102	136	1186
103	136	1178
104	137	1169
105	137	1162
106	138	1155
107	139	1148
108	139	1141
109	140	1134
110	140	1127
111	141	1121
112	142	1115
113	142	1108
114	143	1102
115	143	1095
116	144	1089
117	144	1082
118	145	1075
119	145	1069
120	146	1064
121	147	1058
122	147	1051
123	148	1046
124	148	1042
125	149	1037
126	150	1035
127	151	1029
128	151	1024
129	152	1019
130	152	1013
131	153	1008
132	153	1002
133	154	997
134	154	992
135	155	988
136	156	983
137	156	977
138	157	972
139	157	967
140	158	963
141	158	959
142	159	954
143	159	949
144	160	944
145	160	939
146	161	934
147	161	930
148	162	925
149	162	921
150	163	916
151	163	912
152	164	909
153	164	906
154	165	902
155	165	897
156	166	893
157	166	889
158	167	885
159	167	881
160	168	877
161	168	872
162	169	868
163	169	864
164	170	861
165	170	857
166	171	854
167	171	851
168	172	848
169	172	844
170	173	840
171	173	836
172	174	831
173	174	828
174	174	824
175	175	821
176	176	818
177	176	814
178	176	811
179	177	808
180	177	803
181	178	800
182	178	798
183	179	795
184	179	791
185	180	788
186	180	785
187	181	782
188	181	779
189	181	775
190	182	772
191	182	769
192	183	765
193	183	762
194	183	758
195	184	755
196	184	752
197	185	750
198	185	747
199	186	745
200	187	743
201	187	740
202	187	737
203	188	734
204	188	730
205	188	727
206	189	724
207	189	722
208	189	718
209	190	715
210	190	712
211	191	710
212	191	707
213	191	704
214	192	702
215	192	699
216	193	697
217	193	694
218	194	692
219	194	689
220	194	686
221	195	683
222	195	681
223	195	678
224	196	675
225	196	673
226	196	670
227	197	667
228	197	665
229	198	663
230	198	660
231	198	658
232	199	656
233	200	654
234	200	653
235	201	651
236	201	648
237	201	646
238	202	644
239	202	642
240	203	639
241	203	637
242	203	635
243	204	632
244	204	630
245	204	627
246	205	625
247	205	623
248	206	621
249	206	619
250	207	617
251	207	616
252	207	613
253	208	611
254	208	609
255	209	607
256	209	605
257	209	603
258	210	601
259	210	599
260	210	597
261	211	595
262	211	593
263	211	591
264	212	589
265	212	587
266	213	585
267	213	583
268	214	581
269	214	580
270	215	579
271	215	578
272	216	576
273	216	574
274	217	572
275	217	570
276	217	568
277	218	566
278	218	564
279	218	562
280	219	560
281	219	558
282	220	557
283	220	555
284	220	553
285	221	552
286	221	550
287	222	549
288	222	547
289	222	545
290	223	544
291	223	542
292	224	540
293	224	539
294	224	537
295	225	535
296	225	533
297	225	532
298	226	530
299	226	528
300	226	527
301	227	525
302	227	524
303	228	523
304	229	521
305	229	520
306	230	519
307	230	517
308	230	516
309	231	514
310	231	513
311	231	511
312	232	509
313	232	508
314	233	506
315	233	505
316	233	503
317	234	502
318	234	500
319	235	499
320	235	498
321	235	496
322	236	495
323	236	493
324	237	492
325	237	490
326	237	489
327	238	487
328	238	486
329	238	484
330	239	483
331	239	482
332	239	480
333	240	479
334	240	477
335	241	476
336	241	475
337	242	474
338	242	473
339	243	472
340	243	471
341	244	469
342	244	468
343	244	467
344	245	465
345	245	464
346	246	463
347	246	461
348	246	460
349	247	459
350	247	457
351	247	456
352	248	454
353	248	453
354	249	452
355	249	451
356	249	450
357	250	449
358	250	447
359	251	446
360	251	445
361	252	444
362	252	443
363	252	441
364	253	440
365	253	439
366	254	438
367	254	436
368	254	435
369	255	434
370	255	433
371	255	431
372	256	430
373	257	430
374	257	429
375	258	428
376	258	427
377	259	426
378	259	425
379	259	424
380	260	422
381	260	421
382	260	420
383	261	419
384	261	417
385	261	416
386	262	415
387	262	414
388	262	412
389	263	411
390	263	410
391	264	409
392	264	408
393	265	407
394	265	406
395	265	405
396	266	404
397	266	403
398	266	401
399	267	400
400	267	399
401	267	398
402	268	397
403	268	396
404	269	395
405	269	394
406	269	393
407	270	391
408	270	390
409	270	389
410	271	389
411	272	388
412	272	387
413	273	386
414	273	385
415	273	384
416	274	383
417	274	382
418	274	381
419	275	380
420	275	379
421	276	378
422	276	377
423	276	375
424	277	374
425	277	373
426	277	372
427	278	371
428	278	370
429	278	369
430	279	369
431	280	368
432	280	367
433	280	366
434	281	365
435	281	364
436	281	363
437	282	362
438	282	361
439	282	360
440	283	359
441	283	358
442	284	357
443	284	356
444	284	355
445	285	354
446	285	353
447	286	352
448	286	352
449	287	351
450	287	350
451	288	349
452	288	348
453	289	347
454	289	346
455	289	345
456	290	344
457	290	343
458	290	342
459	291	341
460	291	340
461	291	339
462	292	338
463	292	338
464	292	337
465	293	336
466	293	335
467	294	334
468	294	333
469	295	332
470	295	332
471	295	331
472	296	330
473	296	329
474	297	328
475	297	327
476	297	326
477	298	325
478	298	324
479	298	323
480	299	322
481	299	322
482	300	321
483	300	320
484	301	319
485	301	319
486	302	318
487	302	317
488	303	316
489	303	315
490	303	314
491	304	314
492	304	313
493	304	312
494	305	311
495	305	310
496	305	309
497	306	308
498	306	308
499	307	307
500	307	306
501	307	305
502	308	304
503	308	303
504	309	303
505	309	302
506	310	301
507	310	300
508	310	299
509	311	299
510	311	298
511	312	297
512	312	296
513	313	295
514	313	295
515	313	294
516	314	293
517	314	293
518	315	292
519	316	291
520	316	291
521	316	290
522	317	289
523	317	288
524	318	287
525	318	286
526	318	286
527	319	285
528	319	284
529	319	283
530	320	282
531	320	282
532	321	281
533	321	280
534	321	279
535	322	278
536	322	278
537	322	277
538	323	276
539	323	275
540	324	275
541	324	274
542	324	273
543	325	272
544	325	271
545	325	271
546	326	270
547	326	269
548	327	268
549	327	267
550	327	267
551	328	266
552	328	265
553	329	264
554	329	264
555	330	263
556	331	263
557	331	262
558	331	261
559	332	261
560	332	260
561	333	259
562	333	258
563	333	258
564	334	257
565	334	256
566	334	255
567	335	254
568	335	254
569	335	253
570	336	252
571	336	252
572	337	251
573	337	250
574	338	249
575	338	249
576	338	248
577	339	247
578	339	247
579	340	246
580	340	245
581	340	244
582	341	244
583	341	243
584	342	242
585	342	241
586	342	241
587	343	240
588	343	239
589	343	239
590	344	238
591	345	237
592	345	237
593	346	236
594	346	235
595	346	235
596	347	234
597	347	233
598	348	233
599	348	232
600	348	231
601	349	230
602	349	230
603	349	229
604	350	228
605	350	228
606	351	227
607	351	226
608	352	226
609	352	225
610	352	224
611	353	224
612	353	223
613	354	222
614	354	221
615	354	221
616	355	220
617	355	219
618	356	219
619	356	218
620	357	217
621	357	217
622	358	216
623	358	216
624	359	215
625	359	214
626	359	213
627	360	213
628	360	212
629	360	211
630	361	211
631	361	210
632	361	209
633	362	209
634	362	208
635	363	207
636	363	207
637	364	206
638	364	206
639	365	205
640	365	204
641	366	204
642	366	203
643	367	202
644	367	202
645	367	201
646	368	200
647	368	200
648	368	199
649	369	198
650	369	198
651	370	197
652	370	196
653	370	196
654	371	195
655	371	194
656	372	194
657	372	193
658	372	192
659	373	192
660	373	191
661	374	191
662	375	190
663	375	190
664	375	189
665	376	188
666	376	188
667	376	187
668	377	186
669	377	186
670	378	185
671	378	184
672	378	184
673	379	183
674	379	182
675	379	182
676	380	181
677	380	180
678	381	180
679	381	179
680	382	179
681	382	178
682	382	177
683	383	177
684	383	176
685	383	175
686	384	175
687	384	174
688	385	173
689	385	173
690	385	172
691	386	171
692	386	171
693	386	170
694	387	170
695	387	169
696	388	168
697	389	168
698	389	167
699	390	167
700	390	166
701	390	165
702	391	165
703	391	164
704	391	164
705	392	163
706	392	162
707	392	162
708	393	161
709	393	160
710	394	160
711	394	159
